2000-04-15,79,I Need A Hot Girl,Hot Boys
2000-04-15,80,Purest Of Pain (A Puro Dolor),Son By Four
2000-04-15,81,Graduation (Friends Forever),Vitamin C
2000-04-15,82,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000-04-15,83,Real Live Woman,Trisha Yearwood
2000-04-15,84,Whistle While You Twurk,Ying Yang Twins
2000-04-15,85,Best Of Me,Mya Featuring Jadakiss
2000-04-15,86,Mr. Too Damn Good,Gerald Levert
2000-04-15,87,Love Is Blind,Eve Featuring Faith Evans
2000-04-15,88,American Pie,Madonna
2000-04-15,89,If You Don't Wanna Love Me,Tamar Braxton
2000-04-15,90,Unconditional,Clay Davidson
2000-04-15,91,Ryde Or Die, Chick,The Lox Featuring Timbaland And EVE
2000-04-15,92,Anything,JAY-Z
2000-04-15,93,Stay Or Let It Go,Brian McKnight
2000-04-15,94,Mirror Mirror,M2M
2000-04-15,95,No Leaf Clover,Metallica
2000-04-15,96,Left, Right, Left,Drama
2000-04-15,97,Give Me You,Mary J. Blige
2000-04-15,98,Can't Stay,Dave Hollister
2000-04-15,99,One Night Stand,J-Shin Featuring LaTocha Scott
2000-04-15,100,No More Rain (In This Cloud), Angie Stone
2000-05-15, 1,Maria Maria,Santana Featuring The Product G&B
2000-05-15,2,Breathe,Faith Hill
2000-05-15,3,Thong Song,Sisqo
2000-05-15,4,He Wasn't Man Enough,Toni Braxton
2000-05-15,5,I Try,Macy Gray
2000-05-15,6,Everything You Want,Vertical Horizon
2000-05-15,7,Say My Name,Destiny's Child
2000-05-15,8,Be With You,Enrique Iglesias
2000-05-15,9,Bye Bye Bye,'N Sync
2000-05-15,10,Try Again,Aaliyah
2000-05-15,11,I Wanna Know,Joe
2000-05-15,12,Amazed, Lonestar
2000-05-15,13,You Sang To Me,Marc Anthony
2000-05-15,14,It Feels So Good,Sonique
2000-05-15,15,Oops!...I Did It Again,Britney Spears
2000-05-15,16,Higher,Creed
2000-05-15,17,There You Go,P!nk
2000-05-15,18,Otherside,Red Hot Chili Peppers
2000-05-15,19,I Turn To You,Christina Aguilera
2000-05-15,20,The Real Slim Shady,Eminem
2000-05-15,21,Smooth,Santana Featuring Rob Thomas
2000-05-15,22,I Wish,Carl Thomas
2000-05-15,23,Separated,Avant
2000-05-15,24,Bent,matchbox twenty
2000-05-15,25,Never Let You Go,Third Eye Blind
2000-05-15,26,Crash And Burn,Savage Garden
2000-05-15,27,Party Up (Up In Here),DMX
2000-05-15,28,Big Pimpin',Jay-Z Featuring UGK
2000-05-15,29,Only God Knows Why,Kid Rock
2000-05-15,30,Get It On Tonite,Montell Jordan
2000-05-15,31,Wobble Wobble,504 Boyz
2000-05-15,32,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000-05-15,33,Shackles (Praise You),Mary Mary
2000-05-15,34,Better Off Alone,Alice Deejay
2000-05-15,35,Broadway,Goo Goo Dolls
2000-05-15,36,The Way You Love Me
 ,Faith Hill
2000-05-15,37,I Knew I Loved You,Savage Garden
2000-05-15, 38,I Need To Know,Marc Anthony
2000-05-15,39,Yes!,Chad Brock
2000-05-15,40, Graduation (Friends Forever),Vitamin C
2000-05-15,41,Where I Wanna Be,Donell Jones
2000-05-15,42,That's The Way It Is,Celine Dion
2000-05-15,43,The Best Day,George Strait
2000-05-15,44, Swear It Again,Westlife
2000-05-15,45,How Do You Like Me Now?!,Toby Keith
2000-05-15,46
 ,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean
2000-05-15,47,She's More,Andy Griggs
2000-05-15,48,The Chain Of Love,Clay Walker
2000-05-15,49,Couldn't Last A Moment,Collin Raye
2000-05-15,50,Best Of Me,Mya Featuring Jadakiss
2000-05-15,51,It's Gonna Be Me,'N Sync
2000-05-15,52,Back Here,BBMak
2000-05-15,53,Been There,Clint Black With Steve Wariner
2000-05-15,54,Kryptonite,3 Doors Down
2000-05-15,55,Let's Get Married,Jagged Edge
2000-05-15,56,Carlene,Phil Vassar
2000-05-15,57,Whoa!,Black Rob
2000-05-15,58,What I Need To Do,Kenny Chesney
2000-05-15,59,Absolutely (Story Of A Girl),Nine Days
2000-05-15,60,Unconditional,Clay Davidson
2000-05-15,61,Goodbye Earl,Dixie Chicks
2000-05-15,62,I Don't Wanna, Aaliyah
2000-05-15,63,You Owe Me,NAS Featuring Ginuwine
2000-05-15,64,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe
2000-05-15,65,Purest Of Pain (A Puro Dolor),Son By Four
2000-05-15,66,Some Things Never Change,Tim McGraw
2000-05-15,67,Someday Out Of The Blue,Elton John
2000-05-15,68,Forgot About Dre,Dr. Dre Featuring Eminem
2000-05-15,69,I Hope You Dance,Lee Ann Womack
2000-05-15,70,Nothing As It Seems,Pearl Jam
2000-05-15,71,Jumpin', Jumpin'
 ,Destiny's Child
2000-05-15,72,Prayin' For Daylight,Rascal Flatts
2000-05-15,73,More,Trace Adkins
2000-05-15,74,Another Nine Minutes,Yankee Grey
2000-05-15,75,Love's The Only House,Martina McBride
2000-05-15,76,(Hot S**t) Country Grammar,Nelly
2000-05-15,77,Give Me You,Mary J. Blige
2000-05-15,78,With Arms Wide Open,Creed
2000-05-15,79,I'll Be,Reba McEntire
2000-05-15,80,Dance Tonight,Lucy Pearl
2000-05-15,81,It's So Hard,Big Punisher Featuring Donell Jones
2000-05-15,82,Flowers On The Wall,Eric Heatherly
2000-05-15,83,I Like It,Sammie
2000-05-15,84,I Disappear,Metallica
2000-05-15,85,Me Neither,Brad Paisley
2000-05-15,86,Mirror Mirror,M2M
2000-05-15,87,This Time Around,Hanson
2000-05-15,88,Desert Rose,Sting Featuring Cheb Mami
2000-05-15,89,Whistle While You Twurk,Ying Yang Twins
2000-05-15,90,That's What I'm Looking For,Da Brat
2000-05-15,91,Love Sets You Free,Kelly Price & Friends
2000-05-15,92,The Bad Touch,Bloodhound Gang
2000-05-15,93,I Belong To You,Lenny Kravitz
2000-05-15,94,Lessons Learned,Tracy Lawrence
2000-05-15,95,Monica,Before Dark
2000-05-15,96,No Mercy,Ty Herndon
2000-05-15,97,From The Bottom Of My Broken Heart,Britney Spears
2000-05-15,98,Falls Apart,Sugar Ray
2000-05-15,99,Shut Up,Trick Daddy Featuring Duece Poppito, Trina, Co
2000-05-15,100,Another Dumb Blonde,Hoku
2000-06-15,1,Try Again,Aaliyah
2000-06-15,2,Breathe,Faith Hill
 
2000-06-15,3,Everything You Want,Vertical Horizon
2000-06-15,4,Be With You,Enrique Iglesias
2000-06-15,5,You Sang To Me,Marc Anthony
2000-06-15,6,The Real Slim Shady
 ,Eminem
2000-06-15,7,Thong Song,Sisqo
2000-06-15,8,Maria Maria,Santana Featuring The Product G&B
2000-06-15,9
 ,Oops!...I Did It Again,Britney Spears
2000-06-15,10,I Wanna Know,Joe
2000-06-15,11,I Try,Macy Gray
2000-06-15,12,He Wasn't Man Enough,Toni Braxton
2000-06-15,13,Higher,Creed
2000-06-15,14,There You Go,P!nk
2000-06-15,15,It's Gonna Be Me,'N Sync
2000-06-15,16,Bent,matchbox twenty
2000-06-15,17,I Turn To You,Christina Aguilera
2000-06-15,18,Say My Name,Destiny's Child
2000-06-15,19,Otherside,Red Hot Chili Peppers
2000-06-15,20,Big Pimpin',Jay-Z Featuring UGK
2000-06-15,21,Back Here,BBMak
2000-06-15,22,Amazed,Lonestar
2000-06-15,23,I Wish,Carl Thomas
2000-06-15,24,(Hot S**t) Country Grammar,Nelly
2000-06-15,25,Swear It Again,Westlife
